中国中共中央党校	销售部经理
xi’an university of communication	duty technology majordomo and general-engineer
广州市第一中学	旅游产品销售,行政文员,旅游计划调度,教育辅导,物业管理,经营管理,旅游产品/线路策划
空军大连通信学院	人事行政总监及以上,副总经理
湖北省汉川市泵站中学	会计
襄阳县一中	游戏客服
d	设计师,日语翻译
辽宁省大连外国语学院	商业顾问总监
北京交通技术职业学院	软件研发工程师,软件测试工程师
四川省凉山州商业技术学校	库管,其它,司机
加拿大圣玛丽大学（Saint Mary's University）	金融类
 广西科技职业学院	生产主管
肇庆科技职业技术学院	预算员,施工员,php程序员,室内设计师助理,电气技工,区域经理,会计助理,会计文员,资料员,造价员
参加社会培训机构	项目经理
湖南师范	总监，各部经理
南京工业大学（脱产自学）	监理员
河北高中	php程序员
立信会计学院	信用控制专员,财务主管,财务,sales & marketing manager
华东师范大学夜大学	商务助理,项目助理,CAD设计助理
南宁市机械技术学校	五金模具工程师
Ningbo University	外贸业务员,机械工程师
中医学院	内科,疼痛诊疗,麻醉副主任医师,临床麻醉
茂名市南海工业科技学校	会计助理,会计
北京启华学校	人力资源经理
北京中德培训中心	机修,汽车钣金工
四川泸县第二中学	金融投资营销岗
北京市外国语大学	教务学管人员
华南师范大学电子通信工程专业	
阿萨娜印度瑜伽学院	置业顾问
长沙南方技术职院	网络营销
连山壮族瑶族自治县广播电视大学	文员,销售员
上海工艺美术职业学院	影视后期,景观设计,园林景观设计 ,景观设计助理,服装设计师助理,室内设计师助理,平面设计师,市场专员,导演,平面设计
安徽行政学院	电话销售
宜阳县高级中学	司机
安徽淮北工业学校	技术员
七台河职业学院	技术员兼项目负责人,金牌经纪人
泸州市第二中学	软件测试
山西省政法管理干部学院	导游,督导经理/主管,导游员,项目经理/主管,合规督察经理/主管
江西省萍乡市广播电视大学	施工员
社溪中学	业务经理
广州市公用事业高级技工学校	文员
北京天悦瑜伽	办公室主任
河南省郑州广播电视大学	技术员,班组长,工艺工程师
上海韦博国际英语培训英语口语	区域经理,会计,会计主管,土建工程师,项目经理,产品经理,车间主任,Java工程师,资料员,生产厂长
Hunan foreign economic trade & relations college	会计,贵宾理财专员,客服专员,项目管理,船务,PMC主管,餐饮部助理
河北省高碑店第一中学	司机
黑龙江三江计算机专修学院	区域经理
南京审计学院	会计,审计,财务,审计助理,出纳,船务主管,审计主管,财务助理,客户经理,人事专员
新疆教育学院	行政经理
四川师范大学本部	法务经理
大方二中	驾驶员
西安科技大学附属学院	
武汉测绘科技大学	精装修工程师,机电经理 机电设计 项目经理,执行总经理,大区总监、大区经理、销售经理、销售主管,管理者代表,品质部经理,售前&项目经理,副总  厂长,产品认证经理,副总经理
石家庄市河北科技大学	会计助理,前台接待,人力资源
斫曹中学	普工
武汉市汉南区第一中学	环卫专用车产品设计工程师
城步一中	注塑领班,物流，跟单，文员，客服,视频编辑
北京阿博泰克信息技术培训	linux运维工程师
茂名市第二技工学校	维修工,电工,会计
中国国际商务专业资格认证中心	外贸业务员
安徽师范大学附中	总监或总经理
天津大学（985工程）	工艺设计师,化工工艺设计师,化工工程师
江苏徐州彭城大学	
湖南省耒阳市冠湘中学	会计,财务,客服,咨询,国内贸易,银行柜员
湖北民族学院科技有限公司	硬件工程师或助理
江西省南昌市进贤县第二中学	律师助理
123中学	快递员,装卸工,司机,银行客户经理
湖南益阳市第二技工学校	结构工程师
重庆市合川中学	会计/出纳/审计
Mattricht University and Intercollege University	人力资源经理
ACCA东亚国际培训中心	客服主管,行政人事专员,审计专员
西安工程机械学院	
山东信息职业技术学院	java工程师,会计助理,会计,韩语,人力资源助理,UI设计师,android测试,软件实施工程师,交互设计师,商务专员
Yangtze University	机电设计经理,Customer Quality Service Intern,电子工程师,软件测试,总经理秘书兼VIP课程顾问
化州职业技术学校	文员,财务方向,人事
北京化纤工学院	工程部经理
曲阜师范大学杏坛学院	韩语业务,日语翻译 日语翻译助理 贸易 物流,软件研发/测试工程师,韩语外贸人员,流水线职工,行政,教师,教师 助理
湖南省怀化市第三中学	
河西学院	会计助理,工程师,兼职教师,java 软件工程师 1年 北京,电气相关专业职位,java开发工程师,物料管理员,项目经理,中学教师,综合后勤、行政专员、初级管理人员
郭镇中学	炒锅
八一学院	货运司机,行政司机
贵州师范大学	信息专员兼行政人事人员,销售,行政助理,绘图员,资料员,平面设计师,美术教学,现场监理,测量员,采购员/助理
生源学校	设备管理工程师
新天方阿拉伯语学校	阿拉伯语翻译
天水四中	经理,楼面经理,前厅经理
西安矿院	生产矿长 总工程师
大医附属卫校	理货
北京市经济管理专修学院	软件测试工程师
北京工商行政管理学院	运营经理,产品经理,市场经理
广西民族高中	从事助理,采购员/助理,仓库管理
万载阳乐高中	平面设计,设计制作,美工
北京市建材学校	客服主管,销售经理、业务经理,物业经理,会计主管,总经理助理
上海轻工业高等专科学校	生产主管,设备主管
江西司法警官学校	咨询顾问
蒙城二中	数控车工
郑州经济管理干部学院	会计,客服经理、客服主管,KTV总经理,客服经理,销售总监,质量管理工程师、工艺工程师
广州市侨光财经职业技术学校	咨询客服
江门职业	设计助理
山西水利学院	PMC
江汉大学高职学院	施工员
长春国际商务学院	俄语翻译及销售人员,tourist guide
Hong Kong University of Science and Technology	
南京农业大学（211重点）	机械工程师
南京市电子联合大学	客服主管,收银主管
江苏省建筑职工大学	
随州市第一中学	行政助理，司机
Shenyang Ligong University	会计,俄语海外客服,机械工程师,Senior quality manager,工艺工程师
HLJ  AUGUST  FIRST LAND  RECLALMATION  UNIVERSITY	副总经理
武汉市第二商业学校	收银员
北京石油大学（成教学院）	业务员 督导
梅州市卫生职业技术学校	护士
工业职业技术学院	装配钳工
郑州工学院	一级建造师,项目经理,集团副总,总监理工程师,总裁,设备管理高级经理,工程项目经理,土建工程师,高级顾问师兼TPM/TnPM项目总监,设备总监
江西理工大学冶金和化学工程学院	冶金,贮备干部,生产
佳木斯三江美术学院	材质师
广州南洋理工学院	软装设计,室内设计,生产厂长
Huazhong University, China	项目经理
陕西合阳黑池高中	总监助理兼工会主席
齐齐哈尔第八中学	项目经理等
衡水师专	助理工程师
湖南理工专修学院	销售主管,置业顾问,平面设计师
重庆市荣昌职业教育中心	收银员,订票/订房服务,统计员
黑龙江科技学院	软件工程师,项目经理,电子工程师,人力资源,软件开发工程师,土建工程师,分析主管,新产品导入工程师,人事主管,java软件工程师
朝阳师范大学	软件工程师
保康县职教中心	淘宝客服
吉林职工医科大学	置业顾问
常州机电学院	技术员,工程师,设备主管,区域经理,机械工程师,结构工程师,副总经理,销售经理,销售工程师,产品工艺师
Drexel university	投資经理
湖南商学院	会计,软件工程师,财务经理,出纳,销售经理,java软件工程师,中国区销售经理,区域销售经理,财务会计,财务主管
陕西国际商贸专修学院	营销策划总监
八十二中	领队
澳大利亚拉筹伯大学,北墨尔本高等技术学院,广东工业大学	系统工程师
河北商贸	最好是家电类 消费类数码电子产品也行 业务 店长
北京市海淀区职工大学	主管会计/会计经理,会计主管、会计,会计,电子商务经理
广东成人财经学院	总监、副总经理等相关职位,CFO,软件开发,市场销售总监,银行行长,经理,总经理,基金经理
河南郑州工学院	厂长\副总
福建林业大学	项目主管
重庆潼南中学	课长
广西经济管理干部学院	会计,ATDS,会计助理,办公室文员,php程序员,出纳,行政管理,人事助理,出納,服务顾问
嘉兴市第五中学	行政前台,投资顾问,投资销售主管
北京北方交大	产品经理
辽宁对外经贸学院	出纳,助理,财务助理,会计,储备干部,外贸业务员,行政楼层接待员,行政,与财务有关的工作,助理会计
江门职业技术学院	会计,采购,项目工程师,会计助理,储备干部,品管/工艺,平面设计,预算员,出纳、会计,财务会计
四川省遂宁市第二重点高中	
河北省保定市高阳一中	成本管理,税务申报,会计核算
成 都 信 息 工 程 学 院	电子
辽宁质量管理协会	生产经理，生产总监，生产厂长等
山东省 新泰市 第四中学	车床,数控,普工
长沙安博牛耳培训基地	
澳洲堪培拉大学	商标代理人
湖北省荆州市职业教育中心	客服
广东省梅州市商业学校	财务,会计,成本
荆沙机械专科学校	制造中心
广西柳州科技大学	仓管员,叉抱车
北京市物资贸易学校	会计处副经理
平谷一职	销售代表
华南理工大学公开学院	施工员 监理员 资料员,客服、前台,培训专员
常州市旅游商贸高等职业技术学校	置业顾问
河北省张家口市电子科技学校	采购及销售助理
安徽中医院高等专科学校	电话销售
香港永泰集团内部培训	生产经理
大连广播电视大学	化验,质量管理,行政助理,产品开发,会计主管,销售管理,预算员,造价员,惠普金牌促销员,品牌经理
La trobe university	实习生
Laiwu High School Chenghai District Shantou City	President of Students' union
韩城市象山中学	区域经理、销售总监
辽宁工程技术大学（原阜新矿业学院）	会计主管,队长  技术科长等
广州市88中学	辅警
沈阳经贸学院	
北京人文函授大学--	付总经理
北京市供销财会学校	财务部
石家庄陆军指挥学院	电气工程师,电视编导,软件工程师,会计助理,销售总监,销售经理,行政,视频编导,总监,人力行政总监
亮甲店中学	普工
北京市财政学校	财务主管,税务主管,审计主管,品类规划经理
台湾大学  人文社会高等研究院	项目经理,商务经理,营销策划
吉林机电工程学校	商务经理
前楼学校	喷油丝印移印
深圳大学成教学院	生产经理,课长,主管,客服,人事助理,行政
河北省邯郸市春晖中学	高级理财顾问,项目主管经理协调专员
中国电影艺术研究中心	产品经理、运营主管,导演，编导
保定蓝翔技术学校	JAVA开发
河南开封第三职业中专	武警退伍，从事银行专职持枪守护、押运工作，司机
安徽亳州示范高等专科学校	行政人事专员
英国普利茅斯大学	信托业务项目助理,总裁助理/ 市场部助理
成人职业学校	拖头司机
河南省信阳夏庄小学	票务,教务,行政
河北旅游职业技术学院	销售代表
北京八维计算机研修学院	
旬邑县太村中学	无
广州金融学院	中央工厂 物流总监
697	模具助理工程师,模具设计助理
扬州轻工学校	营业员,收银员
会计师	信贷管理
大庆连海技校	各种焊接
德惠市第四中学	助理
广州市红日技校	销售类
破凉花中	QC
沈阳药科大学	销售经理,联合培养学生,总经理助理兼研发部经理,实习中医师,高级医学经理,药物申报,销售管理,BD经理,副总经理或总经理助理,财务助理
新乡职业技术学院	java
河南省西华县东王营乡中学	品质经理/主管
电子	技师
西南科技大学成教	行政文员
广州侨光财经学院	运营总监
湖北省黄冈高级技工学校	后勤主管,厂务主管,机械维修
East Chian University of Law & Politics	项目法务主管
湖南省纺织专科学校	带班检修电工,服装公司或工厂的总经理/副总/总监
彝良二中	挖掘机,司机
河北科技大学（中国科学院过程工程研究所联合培养）	化学、化工、有机合成
陕西财经学校、财经学院	业务主管
张家口电子科技专业职业学院	弱电主管
秦皇岛教育学院（河北科技师范学院）	采购经理
民族大学	施工员,人事,客服,设计，预算,土木工程  工民建,销售经理 渠道经理，总监,财务经理,实施工程师,销售部经理,项目管理
湖北省黄梅县小池镇第一中学	
成都财贸	网络销售,网络推广
崇州市电子职业技术学校	焊接装配、调试、维修、检验
天津市劳动局技校	厨师
大庆师范	
湖北服装学院	服装设计/助理
扬州某大学	项目经理兼技术主任
蠡县高中	售后,营业担当,现场培训,调试
武汉工程技术学院 	网站运营总监/销售总监,机械工程师
湖南汉寿五中	车工
广东省高州科技学院	电子/电器维修工程师/技师
中国人民解放军防化指挥工程学院	行政副经理,记者,行政主管
纽约伦斯勒理工学院	证券,投资业务,银行
时代光华管理课程	公关专员+市场专员
北京信息工程大学生	主管会计
唐山师范学院	设计师助理,程序员,教师,软件工程师,.net软件工程师,高级数学教师,化验员,软件测试工程师,人事专员,英语教师
英国皇家物流	集团交通督导
山西经济专修学院	实施工程师
张家界职业技术学院	中走丝,线割组长,快走丝
白云职业学院	
肖塘中学	客服专员
里村中学	电工
东北大学，英语系	行政经理
江苏省徐州财经高等技术学校	出纳员
韩国高丽大学	运营总监,行政部门,韩语教师,贸易专员,董事
大连交通大学	软件工程师,机械工程师,项目经理,机械设计工程师,高级软件工程师,软件测试工程师,总经理助理,工艺工程师,会计助理,环保工程师
English fFrst	事业部部长
山西工商职业学院	企划部副部长,开发组长,职业顾问
河南科技学院	机械设计工程师,销售经理,技术干部,工程师助理,java软件工程师,嵌入式软件工程师,java程序员,园艺师,业务经理,城市规划与设计
车桥镇中学	厨师
河南省信阳县高级中学	库管
珠海科微	机修,维修电工,机电班组长
英国威尔士清华MBA学位班就读	采购物流部经理
湖南信息技术学院	售后服务,网络工程师,测试工程师,网络管理员,PCB Layout 工程师,技术员,销售经理,电子工程师
大连商务学院	办公室,技术主管
布伦瑞克应用科学大学	房屋设备的技术管理,机械专业类中德贸易的协调,机械大类的采购行业
北京天聪崇德投资咨询有限公司	北方大区经理
黑龙江省建筑职业技术学院	精装工程师,机电设计助理,水电工程师,土建预算员,水电施工员
江苏建院	施工员
西南大学（自考）	房建施工员
涿州市市专科学院	会计
职业培训中心	电气工程师
宜春市中级人民法院	
桂林市高等师范专科学校	客服
**大学	运营高级管理岗位,战略计划高级管理岗位,企业管理高级管理岗位
新余初中	现场施工管理
南宁市第七中学	设计师学徒
武穴天码职业培训学校	销售助理
湖南新华职业学校	厨师
Beijing University Of Science And Technology	联想中国区渠道销售副总经理,客户服务部门,销售总监,法律顾问,General Manager
Sichuan University, China	Software Engineer
金顶街职高	空调运行领班
博白县中学	射频工程师
太原师范学院	计调、操作、客服,英语教师,记者,翻译,服装设计师助理,通信工程师,数学教师,兼职教师,策划,播音主持人
管理发展与研究学院（瑞士）	HR Senior Manager
沈阳化工大学（二本）	汽车各个模块研发
西南农业大学	audit officer,经理,审计主任,会计,店长,质量管理,检验主管/化验主管,财务主管,景观工程师,装饰工程
天津理工大学（统招）	QA,QC,QE
河南大学软件学院	软件工程师
辽宁师范大学	俄语相关职位,历史教师,大客户经理,教师 客服 ,测试工程师,编辑,物料主管/专员,英语翻译,文员,副总裁
四川音樂學院成都美術學院	攝影師
山西青年干部管理学院	网络工程师 技术支持 售后服务 网络安全
英属哥伦比亚大学	产品运营副总监,期货研发,期货交易,农业分析,Product Director,项目分析员
广西昭平中学	销售代表
西安东亚科技学院	专业负责人
瑞典布莱津理工大学 Blekinge Institute of Technology	实习生
山东新华电脑学院	设计助理,程序员
广东顺德第一中学	质检员
北京深圳广播电视大学	人力资源经理
江西省机械工业学校	热处理工程师，主管,Quality Engineer
中大管理学院	采购
南京陆军指挥学院（自考）	财务行政助理
新西兰奥塔古大学	分析师
重庆窍角沱职业中学	设计助理
China Central Radio and TV University	Project Manager
日本东京语言学校	人力资源总监
北京火星时代动漫实训基地	2D角色原画
广东省岭美术学院	设计师,高级室内设计师,设计总监
卡尔加里大学	经理助理
北京育英管理学院	副总经理,生产经理,生产厂长
云南省楚雄高级技工学校	大区经理,区域经理
河北省滦平二中	服务员,私陪,it实习生
广东电大	制造总监,副总经理,采购,厂长,制造部长,人力资源副总/总监/经理、总经理助理,销售,管理
山东省淄博商业学校	财务总监
湖北生物科技职业技术学院	跟单员,采购文员,采购助理
杭州H3C技术有限公司	信息技术主管,系统集成项目经理,弱电系统售前工程师
杜伦大学（英国前五）	管理培训生
天津职业技术师范大学	采购,研发工程师,助理工程师,机械设计工程师,英语教师,客服专员,机械工程师,管理培训生,生产计划员,自动化工程师
广西马山永州高中部	客服,导购
遂宁师范学校	小学数学教师,小学语文教师
英国Sunderland大学	人力资源管理、会计与金融
北京国际管理专修学院	人事主管,绩效薪酬主管
武汉语言文化职业学院	行政人事助理,经理助理,系统集成工程师,商务助理/专员 销售助理,设计师,软件工程师,客服专员,Japanese,网络营销,技术支持
上海市向明中学	计算机,人事行政,项目运营
The University of Birmingham	Production manager,软件工程师
惠州大学（西安工程大学）	
重庆工业技师学院	钢化班长,置业顾问,钢化主操
中国政法大学/中央广播电视大学	副总经理,工程经理,行政经理
吉林市工业经济学校	财务部财务总监
浙江丝绸工学院	化工品贸易
广西民族大学	项目经理,翻译,无,行政,英语翻译,副总,网络销售&电子商务,软件开发,安防工程师,助理工程师
上海贝尔大学	技术工
平顶山学院音乐系	大专/中小学  音乐教师
营山县二中	市场督导
蓟县二中	司机
呼兰三中	程序员
xuzhou normal university	平面设计
中国农业大学本科	客服专员,质检专员,行政专员/前台总机接待
哈一职	导购
ccll国际设计中心	项目执行管理类
桂林理工大学（桂林工学院）	建筑工程管理相关方面
中南财经政法大学(辅修部)	高级人资经理,战略绩效经理,人事行政总监
马来西亚大学	管理咨询,商业管理
湖北省江汉石油高级技工学院	品质,司机,中介
高级中学	车队长,整机生产线维修,大客车司机A1证,专职司机
仓州技术学校	C本
中专	网络管理员,督导,市场经理,公关经理,QC,小车司机,市场总监,司机
衡水学院	机械工程类,区域经理,技术员,营销总监,外贸业务员,软件测试,销售,人事部,经理助理,嵌入式软件开发工程师
EPFC比利时商务部语言学校	
乐安一中	店铺销售
重庆工业职业技术学院国家级示范学校	吧员/收银员
张桥中学	钳工组长
雷州市第一中学	置业顾问
鲁迅美术学院	平面设计师,室内设计师,UI设计师,摄影讲师 摄影师,动画师,策划,平面设计,产品总监,景观方案设计师,设计师/主管
吉大二学历	
广州市花都区师范学校	外贸主管,外贸业务员,外贸经理
山西电子高级技工学校	图书设计
南方冶金工业学院 	采购主管,采购专员
荆楚理工大学（原沙师高专）	人事专员,人事行政经理,行政专员
华容四中	生产厂长或生产经理
暨南大学（自学）	融资经理,融资总监
广州市白云行知职业中等专业学校	广州五湖四海集团
山西省委党校	文化艺术学院学生工作部部长
大连外国语大学	软件测试,日语相关（如教师、翻译）,公司职员,秘书,培训生、储备干部（有机会从头学习一个新行业）,教师,周末英语辅导,市场助理,日语业务员,无
井冈山科技专修学院	生产主管
淮安信息学院	助理工程师,关务,制程工程师,物流专员,单证,销售工程师
黑龙江水利专科学校	兼职会计
山东 滕州科技职业高中	锅炉运行,热力能源,工业工程
重庆农业学校	体系 审核员
南充市专科学校	生产管理,项目管理,采购管理
吉林立志电脑培训	美工
吉林省邮电学校	通信工程项目经理
广东省梅州市嘉应学院	预算员,生产主管,销售主管,化验员,生产计划
衡阳财经工业职业技术学院	会计,人事助理,网管操控中心,客服,会计相关岗位,会计文员、助理,电话销售,网络调测工程师
复旦计算机中心	行政主管
湖南省怀化学院	家教,渠道经理,单片机,外贸经理,酒店西餐领班
湖北阳新高中	拉长
荷兰莱瓦顿高等专业大学管理学院	法人代表（自主创业）
英国谢菲尔德哈雷姆大学	会展、活动策划
夏县高中	手机导购,手机销售
上饶人民警察学校	
广东高州中学	税务专员、固定资产管理员、档案管理员,客户主管,采购
全国重点大学武汉测绘科技大学，现已合并为武汉大学	土建工程师、工程部主管、开发部主管
吉林大学工商管理学院	会计
葡萄牙科英布拉大学	葡萄牙语翻译/销售/助理
湘潭大学	机械工程师,会计,工程师,副总经理,研发工程师,项目经理,董事会秘书,区域经理,施工员,数据分析
四川省西华师范大学	营销部网络营销,宣传推广,网络运营
Tsung Yu College, Taiwan	General Manager / Founder
河北职工大学	媒体公关经理,品质保证科科长
国家会计学院	主管会计
山西省职业技术学院	挖掘机驾驶员
柳州师专	培训经理
宜宾学院	销售,施工员,会计,资料员,财务助理,销售主管,硬件工程师,会计助理,美容导师,java程序员
焦作市武陟三中	计划调度工程师
高坪中学	工程师
吉林化工学院	电气工程师,软件工程师,工艺工程师,技术人员,自动化工程师,设备设计师,工程师,技术员或实验员,技术员,机械设计师
湖南   商学院	计划,客服文员/ 助理,采购
阜新矿院（现东北科技大学）211重点	结构设计师
吉林省通化市职业高中	市场专员, 销售顾问
绩溪中学	司机
平凉信息工程学院	模具设计学徒
黑龙江省佳木斯大学(在读)	角色动画师
美國喬治亞理工學院    Georgia Institute of Technology	總經理 (2003-2011),President (2003-2011)
贵州省遵义师范学院	
四川省绵阳市西南科技大学（成人脱产）	总工程师/部门经理,项目经理,工程总监
山东水利专科学校	结构工程师，技术主管
湖南九嶷山学院	 ,生产副总,制造总监
泗洪县第二中学	资材主管或经理,仓库主管或经理,PMC主管或经理
蚌埠建设学校	总经理
北京机械工业技工学校（现北京工贸技师学院）	物业管理,造价管理
**	锅炉工
韩国拿撒勒大学校	韩语翻译、办公室文秘
西北工业学校	总经理
聊城八中	司机
上海立信会计高等学校	副总经理
Middlesex University	
北京零工大学	总经理
九资河中学	汽车电工
湖南环球计算机学校	出纳兼总经理助理
培正中学	development vice manager,行政助理
众兴中学	客户经理,手机软测工程师,钻床,基金经理,理财经理
怀化商贸经济管理学校	技术员/管理
华中科技大学同济医学院附属卫生学校	乘务员
西安第二炮兵工程学院	变电检修工程师、质量工程师
宁都五中	店长
延边大学（211院校）	建筑设计师
伊通满族自治县第三中学校	工艺,模修,班长
广东省二轻职工学校	经理
祁阳县第七中学	项目工程师
东莞市第一中学	策划,记者
东北农业大学继续教育学院	副总,咨询师,人力资源总监、总经理助理、副总经理
沈阳教育学院	项目管理
阳朔普通高中	司机
开封正大	php工程师,php程序员,php项目开发
河北省中等职业学院	带班组长
窝落沽镇中学	幼师
西安建设科技轩辕	施工员
贵州省高级技工学校	技术员、维修班长、工程主管
西北大学成教院	总经理助理
河北省唐山市河北理工大学	数据分析
河北民族师范学院	工程师助理,学大教育,店长,SEO专员,翻译校对文员,服务器维护技术,销售,软件开发  测试,前台,语文老师、行政助理
德国奥登堡大学	研发人员
武警四川总队第二支队（在校入伍服役）	产品经理类,管理培训生,运营助理
解放军南京理工大学	公司副总（成本总监）
交大网信教育	课程咨询师
河北师范科技学院	
2001/03—2005/07\t北京涉外经济学院      涉外英文专业       本科	行政人事经理
北京东城电大	
北京尚德	系统工程师,项目经理,技术员,董事会秘书,行政人事总监,人力资源经理,财务总监,副总裁,高级软件工程师,操作工  和  质量监察员
青岛市科技外语学校	分公司总经理
China University Of Mining & Technology	硬件工程师
江苏省淮安市洪泽县第二中学	销售代表,客服,其他
陕西外国语学院	
北京苏荷时代商业广场	服务顾问
杨浦区业余大学	销售代表
北京航天航空大学继续教育学院	薪酬经理
湖北省公安县东港高级中学	销售，公关，媒介类
Hebei Technology University  otechnology	商务主管
湖州师范学院求真学院	外贸专员
中央民族	轮岗实习生
四川工业管理职业学院	会计,实习生
青岛胶南高职校	行政文员
项城市第一高级中学	通信 电子 销售 财会
Jinling Science and Technology	财务经理
山东轻工业学院（本科）	行政/后勤/文秘
河北张家口市工业交通学校	会计，财务主管，财务经理，主管会计，CFO，财务总监
巴黎第十二大学	客户经理,售前国家副代表,系统部主任
 广州华南商贸职业学院  	营销管理、客服管理
江西南昌航空大学	设计师助理,会计助理    人事    行政
北京建学校	工程资料员,资料员,工程档案管理员
兴宁市坭陂中学	财务
广西医科大学	总住院医师,胸心外科,医疗销售,胸外科,心血管外科
湖南电器职业技术学院	电气技术员
西安乡镇企业大学	主管会计,大区经理,项目经理
英国斯特林大学	私募，资产管理公司，股票及市场分析，债卷承销
湖北省京山县第五高级中学	硬件工程师,电气工程师,弱电工程师
广东省韩山师范学院	教学主任
北京宣武区第二职业学校	店面管理兼客服督导
 绵阳职业技术学院	
北京信息管理专修学院	软件测试相关岗位
Beijing University of Posts and Telecommunications	测试工程师,销售经理、客户经理、产品经理,培训助理,制造工程师,软件工程师、项目经理,CTO,生产轮班主管
鹤山市职业技术高级中学	plc工程师
四川成都理工大学	经理,媒介经理
中国传媒大学(北京广播学院)	高级证券分析师,执行董事兼总裁,人力资源总监
甘肃酒泉技校	电气工程师
湖北沙市大学	河南田川实业有限公司,副主管,技术负责,财产险公司客户经理,flash as开发,平面设计,多媒体工程师,flash开发工程师,常务副总,淘宝美工
广东省冶金技工学校	文员,QC,仓管,客服,制冷
武汉自修大学	人力资源总监,厂长,行政总监,人事行政总监,运营副总,高级咨询师,生产管理,经理,销售,法务总监
沐川县电子计算机职业学校	TSR
电白县良田小学	数学老师
广东省对外贸易学校	董事长助理兼人事助理
嵩山少林武术职业学校面设计	平面设计
计算机培训\海洋大学	设计师
广东嘉应大学	报关主管,高级人事行政专员
上海电机技术高等专科学院	售后工程师
河北师范大学继续教育学院	总经理助理
深圳中鹏电脑设计培训有限公司	高级UI设计师,UI设计总监
衡阳中等技术学校	电子工程师
湖州贸易经济学校	物流经理,货品经理,商品企划
广州市纺织服装职业学校	服装设计师
青岛建筑工程学院	司机,财务主管,财务助理,会计,热镀锌,技术工程师,生产经理,销售代表,行政副经理、行政经理,销售管理
机械电子学校	质检员
韶关北江中等职业学校	客服专员
广东津桥外语学院	财富管理部门
西南师范大学，西南大学	java软件工程师
同动漫学院	动作设计师,动画设计师,3d动画设计
山东泰山科技学院	程工程师、总工、项目经理等
湖北省通山县职业高级中学机电专业毕业	物业项目经理/主任
西北轻工业学院（现改为陕西科技大学）	结构系统工程师
日本青山学院大学	日语、英语相关职位
安徽工学院	区域销售经理,供应商质量管理
自学进修	算法交易,金融工程,量化投资
北京季诺插画工作室	平面设计,插画师,美术编辑
江西工业职业技术学院	储备经理,人事专员,银行柜员,会计,销售总监助理,其他,外贸业务员,主管,人事主管,机械设计,SMT设备工程师
灌南花园中学	项目副总
南京农业大学(211工程重点高校)	技术工程师,机械工程师,材料工程师
哈尔滨市轻工学院	设计主管,施工图主管,品牌推广,设计总监
法国图卢兹第一大学	咨询顾问
锦州医药职业高中	产品经理
马家堰中学	普工
华北电力大学(北京)	人力资源助理,ios客户端研发实习生,销售主管,嵌入式软件工程师,教师,会计,法务专员,经理助理,技术支持工程师,影音工程部经理
上海浦江成人学校	高级技术员
南城二中	销售代表,区域经理,销售主管
武汉理工大	网页制作/设计,web前台开发,客户关系主管
上海电视中专	预算,造价,工程审计
福建信息职业技术学院	施工员,拆图员,样品制作员,售后服务工程师,福州恒通铁艺装饰有限公司,质量工程师
保定师范专科学校	策划编辑,php程序员,厨师面点学徒,校长,.net开发工程师,图书馆助理馆员,库管,项目经理,数控学徒,语文教师   班主任
北京总工会职工大学	副总经理,弱电工程师,弱电主管
成	副总经理
海南省师范学院	律师助理,医药领域数据分析,法务,实训员
香港城市大学商学院	营运总监
湖北十堰市职业技术学院	业务经理
英国立兹城市大学	培训经理
北京千惠美容艺术学校	电话销售
北京交通大学（原北方交通大学）	主管会计,产品经理,CR Manager,CR经理
Dalian University	培训讲师、咨询顾问、行政或艺术助理,门控软件工程师
曲阜师范杏坛学院	java开发程序员
四川成都均衡营养师学校	
和华商贸外语学院	培训督导
山东经贸职业学院	会计,出纳,市场推广,会计助理,电气工程师,讲师助教,嵌入式开发工程师,会计师,财务/会计,行政助理
大庆石油学院	产品经理,客户经理,会计,教师,总经理,经理,法务,项目经理,投资经理,培训讲师
北京信息工程专修学校	
宿州市第二中学	业务主管,电工
陕西省铜川市第一高中	客服
长天实验学校	搜索引擎优化,seo优化,seo专员
湖北公安职业高级中学	验货专员
水市中小学	人事助理
房山职业学校	收银员
浙江工业大学	软件工程师,销售总监,客户经理,律师,软件测试工程师,人事助理,嵌入式系统的开发和调试员,采购经理,科研助理,嵌入式软件研发工程师
绍兴托普信息技术学院	PMC superviser,政府销售,工程师
北京大学医院院长EMBA高级研修班	总经理
孝高中	快递员
韩国庆北大学	翻译
东莞市，驭之乐叉车培训学校	叉车司机,仓管
河南省科技学院	仓储主管/经理,供应链主管/经理,工程施工项目经理/主管
赣州市技工学校	业务经理
江西省高安三中	机械维修技术员/工程师,机械装配技术员/钳工,机修技工；ME技术员
重庆交通大学（函授）	主管施工员
天津泉州文武学院	验车员
襄阳文理学院	java工程师
IBM管理培训机构	厨务部经理,行政总厨,行政厨师长
國立陽明大學	General Manager
海口市人才培训中心	三级区域经理
山西青年管理干部学院	文秘，前台，电话销售
保定师专师范学院	大客户经理,销售工程师,区域销售经理
北京广播学院动画学院研修班	动画技术研发,动画制作总监,三维技术总监
Beijing WuZuoren Conservatoire	创意总监 客户总监 监制 影视广告
TWENTE大学TSM 商学院	副总裁
凤霞中学	客服
黑龙江农垦职业学院	施工员,无,运营管理,食品安全,业务主管,连锁加盟,软件营销,市场部主管,售前技术支持
university of Nottingham	销售主管,市场专员,管理咨询项目经理,编辑,营销，市场拓展,外汇结算实习生
